ds;y
2018-12-20;531
2018-12-21;936
2018-12-22;1775
2018-12-23;958
2018-12-24;967
2018-12-25;67
2018-12-26;225
2018-12-27;196
2018-12-28;268
2018-12-29;69
2018-12-30;157
2018-12-31;101
2019-01-01;14
2019-01-02;61
2019-01-03;108
2019-01-04;106
2019-01-05;31
2019-01-06;18
2019-01-07;197
2019-01-08;193
2019-01-09;201
2019-01-10;233
2019-01-11;229
2019-01-12;19
2019-01-13;27
2019-01-14;250
2019-01-15;251
2019-01-16;267
2019-01-17;322
2019-01-18;233
2019-01-19;28
2019-01-20;32
2019-01-21;284
2019-01-22;216
2019-01-23;265
2019-01-24;291
2019-01-25;393
2019-01-26;25
2019-01-27;50
2019-01-28;247
2019-01-29;286
2019-01-30;312
2019-01-31;315
2019-02-01;226
2019-02-02;38
2019-02-03;33
2019-02-04;215
2019-02-05;203
2019-02-06;318
2019-02-07;246
2019-02-08;243
2019-02-09;12
2019-02-10;54
2019-02-11;263
2019-02-12;270
2019-02-13;299
2019-02-14;255
2019-02-15;263
2019-02-16;38
2019-02-17;27
2019-02-18;341
2019-02-19;279
2019-02-20;247
2019-02-21;323
2019-02-22;233
2019-02-23;47
2019-02-24;29
2019-02-25;322
2019-02-26;366
2019-02-27;319
2019-02-28;430
2019-03-01;219
2019-03-02;40
2019-03-03;35
2019-03-04;35
2019-03-05;47
2019-03-06;93
2019-03-07;314
2019-03-08;233
2019-03-09;43
2019-03-10;44
2019-03-11;282
2019-03-12;322
2019-03-13;281
2019-03-14;256
2019-03-15;221
2019-03-16;54
2019-03-17;34
2019-03-18;299
2019-03-19;308
2019-03-20;366
2019-03-21;396
2019-03-22;544
2019-03-23;33
2019-03-24;31
2019-03-25;457
2019-03-26;333
2019-03-27;320
2019-03-28;508
2019-03-29;423
2019-03-30;53
2019-03-31;41
2019-04-01;296
2019-04-02;301
2019-04-03;345
2019-04-04;273
2019-04-05;279
2019-04-06;45
2019-04-07;54
2019-04-08;344
2019-04-09;314
2019-04-10;342
2019-04-11;334
2019-04-12;263
2019-04-13;78
2019-04-14;53
2019-04-15;309
2019-04-16;383
2019-04-17;158
2019-04-18;107
2019-04-19;28
2019-04-20;46
2019-04-21;22
2019-04-22;319
2019-04-23;397
2019-04-24;345
2019-04-25;371
2019-04-26;290
2019-04-27;30
2019-04-28;30
2019-04-29;344
2019-04-30;462
2019-05-01;57
2019-05-02;538
2019-05-03;256
2019-05-04;64
2019-05-05;36
2019-05-06;295
2019-05-07;308
2019-05-08;294
2019-05-09;302
2019-05-10;324
2019-05-11;55
2019-05-12;22
2019-05-13;336
2019-05-14;283
2019-05-15;197
2019-05-16;90
2019-05-17;164
2019-05-18;56
2019-05-19;48
2019-05-20;521
2019-05-21;489
2019-05-22;382
2019-05-23;377
2019-05-24;339
2019-05-25;73
2019-05-26;55
2019-05-27;308
2019-05-28;473
2019-05-29;325
2019-05-30;294
2019-05-31;294
2019-06-01;35
